Sector,Sector Desc,Part No,Part Desc,Alt.Part No,Alt.Part Desc,Product Category,Product Category Desc,MRP,HSN
MT01,Truck & Bus Division,SF0400010,WASHER SPECIAL PLAIN M18X38X2XPL,,,,,4.00,73182200
MT01,Truck & Bus Division,SF0301069,NUT HEX M12X1.25X10.2X8,,,,,4.00,73181600
MT01,Truck & Bus Division,G117918,PLUG EXPANSION 9/16,,,CV,Commercial Vehicles & Common Parts,4.00,40169360
MT01,Truck & Bus Division,SF0302006,NUT NYLOCK M8X1.25X8X5XZN,,,,,4.00,73181600
MT01,Truck & Bus Division,0052380,GASKET GEAR SHIFT LEVER CVR PL,,,PV,Passenger Vehicles and Common Parts,4.00,68129922
MT01,Truck & Bus Division,SF0202101,SCREW HEX FL M6X1X12X8.8,,,CV,Commercial Vehicles & Common Parts,4.00,73181500
MT01,Truck & Bus Division,MF450406,WASHER SPRING (10),,,S1T,Sub one Ton,4.00,73182200
MT01,Truck & Bus Division,SF0501008,RIVET RD HEAD M10X26,,,,,4.00,73182300
MT01,Truck & Bus Division,SF0207004,SCREW PAHD CR M4X0.7X12X8.8XGR,,,S1T,Sub One Ton,4.00,73181500
MT01,Truck & Bus Division,SF0402036,WASHER SPRING L M12X21.1X2.5XGR,,,,,4.00,73182100
MT01,Truck & Bus Division,SF0401062,WASHER PLAIN M10X19X2,,,CV,Commercial Vehicles & Common Parts,4.00,73182200
MT01,Truck & Bus Division,SF0901010,PIN COTTER 3.2X30 ZN,,,PV,Passenger Vehicles and Common Parts,4.00,73182400
MT01,Truck & Bus Division,0315BC0020N,PROTECTIVE CAP - CAM PHASE SENSOR-CRDE,,,,,4.00,87089900
MT01,Truck & Bus Division,SF0404007,WASHER TOOTH IN M6X11X0.7,,,,,4.00,73182200
MT01,Truck & Bus Division,1805AAA06900N,WIRING HARNESS BRACKET INTAKE MANIFOLD,,,CV,Commercial Vehicles & Common Parts,5.00,85443000
MT01,Truck & Bus Division,SF0401024,WASHER PLAIN M16 X 30 X 3 X ZN5,,,CV,Commercial Vehicles & Common Parts,5.00,73182200
MT01,Truck & Bus Division,7703066089,TERNAL RETAINING RING 28,,,,,5.00,87089900
MT01,Truck & Bus Division,0703CC0710N,BALL,,,CV,Commercial Vehicles & Common Parts,5.00,84829119
MT01,Truck & Bus Division,SF0401020,WASHER PLAIN M12 X 26 X 2.3 X ZN5.,,,CV,Commercial Vehicles & Common Parts,5.00,73182200
MT01,Truck & Bus Division,6510114,SPRING LOCK WASHER M10 X 3.5,,,CV,Commercial Vehicles & Common Parts,5.00,73182100
MT01,Truck & Bus Division,0023532,NEF-HEX NUT M8X1-8.8-DIN936,,,,,5.00,73181600
MT01,Truck & Bus Division,3272014600,BALL STEEL,,,,,5.00,84829113
MT01,Truck & Bus Division,0302DAV00190N,PLAIN WASHER DIN125-8.4X17X1.6 BSIV,,,,,5.00,73182200
MT01,Truck & Bus Division,SF0301061,NUT HEX M10X1.5X8X8,,,S1T,Sub One Ton,5.00,73181600
MT01,Truck & Bus Division,0088409, SPACER STEERING LOCK,,,CV,Commercial Vehicles & Common Parts,5.00,73181900
MT01,Truck & Bus Division,0082778,SPRING PIN,,,PV,Passenger Vehicles and Common Parts,5.00,73209090
MT01,Truck & Bus Division,7932566524,NEF-PLATE,,,CV,Commercial Vehicles & Common Parts,5.00,87089900
MT01,Truck & Bus Division,SF0401004,"PLAIN WASHER M6X1.6, FINISH ZN5",,,CV,Commercial Vehicles & Common Parts,5.00,73182200
MT01,Truck & Bus Division,6106208C,WASHER PLAIN M6,,,,,5.00,73182200
MT01,Truck & Bus Division,SF0301086,NUT HEX M10X1X5.7X04,,,,,5.00,73181600
MT01,Truck & Bus Division,SF0401063,WASHER PLAIN M16X22X2,,,CV,Commercial Vehicles & Common Parts,5.00,73182200
MT01,Truck & Bus Division,0052327,KEY-REVERSE SHAFT,,,CV,Commercial Vehicles & Common Parts,5.00,87089900
MT01,Truck & Bus Division,SF0402033,WASHER SPRING L M6X11.6X1.6XGR,,,CV,Commercial Vehicles & Common Parts,5.00,73182100
MT01,Truck & Bus Division,0052763,PIN SPRING (OPT TO 7903067005),,,CV,Commercial Vehicles & Common Parts,5.00,73182990
MT01,Truck & Bus Division,8406AAU00240N,LOCATING BUSH,,,,,5.00,87089900
MT01,Truck & Bus Division,G121753,LOCK WASHER EXT TH 1/4,,,,,5.00,73182200
MT01,Truck & Bus Division,6104KAA00680N,FLOWER CLIP HARD BOARD TRIM,,,,,5.00,87089900
MT01,Truck & Bus Division,S8106A001211N,PLAIN WASHER M6,,,,,5.00,73182100
MT01,Truck & Bus Division,6104KAA00530N,SCREW TRCR M6X1X25X6.6XCXBK,,,,,5.00,73181110
MT01,Truck & Bus Division,6104KAA00550N,SCREW FTCS CR SL M6X1X16X8.8XBK,SF0211027,SCREW FTCS CR SL M6X1X16X8.8XBK,,,5.00,73181500
MT01,Truck & Bus Division,6104KAA00660N,SCREW TPP TRCR ST3.5X1.27X30X4.6XBK,,,,,5.00,73181500
MT01,Truck & Bus Division,7003AAA00280N,SHIM REAR AXLE BEARING 0 2MM,,,,,5.00,87085000
MT01,Truck & Bus Division,SF0401060,WASHER PLAIN M10X22X1.6,,,S1T,Sub One Ton,5.00,73182200
MT01,Truck & Bus Division,7003AAA00290N,SHIM REAR AXLE BEARING 0 1MM,,,,,5.00,87085000
MT01,Truck & Bus Division,0A10052,GASKET-BACK PLATE TO RRBRG.CAP,,,,,5.00,40169310
MT01,Truck & Bus Division,7003AAA00380N,SHIM REAR AXLE BEARING 0 15MM,,,,,5.00,87085000
MT01,Truck & Bus Division,7003AAA00260N,SHIM REAR AXLE BEARING 0 4MM,,,,,5.00,87085000
MT01,Truck & Bus Division,S8106A002741N,HEX HD SCREW,,,,,5.00,87082900
MT01,Truck & Bus Division,SF0207008,SCREW PHCR M5X0.8X27X6.6XZN,,,PV,Passenger Vehicles and Common Parts,5.00,73181500
MT01,Truck & Bus Division,7004212,PIN COTTER 4X40.,,,,,5.00,73182400
MT01,Truck & Bus Division,7903057013,ELASTIC WASHER 6 AC Z5F,,,CV,Commercial Vehicles & Common Parts,5.00,40169350
MT01,Truck & Bus Division,SF0201075,SCREW HEX M6X1X16X8.8XGR,,,,,5.00,73181900
MT01,Truck & Bus Division,8404AAU00250N,SPLIT PIN (CONNECTOR),,,,,5.00,87089900
MT01,Truck & Bus Division,SF0901017,PIN COTTER 4X40 ZN,,,,,5.00,73182400
MT01,Truck & Bus Division,6604CAS00690N,SPRING DETEND,,,,,5.00,87089900
MT01,Truck & Bus Division,SF0402005,WASHER SPRING M6X11.8X1.6XZN5,,,CV,Commercial Vehicles & Common Parts,5.00,73182100
MT01,Truck & Bus Division,SF0901011,PIN COTTER (3.2X32 ZN),,,CV,Commercial Vehicles & Common Parts,5.00,73182400
MT01,Truck & Bus Division,7910016442,GASKET INT.BRG.-N/S. OILERR,,,CV,Commercial Vehicles & Common Parts,5.00,84841010
MT01,Truck & Bus Division,7401AAE02120N,SHIM PIPE,,,,,5.00,73181600
MT01,Truck & Bus Division,0303DAV00170N,"HEX. SOCKET HEAD SCREW, DIN 912-M6X30",,,,,5.00,73181500
MT01,Truck & Bus Division,0303EAV00320N,O-RING,,,,,5.00,40169320
MT01,Truck & Bus Division,7104CAP00130N,SPEEDNUT,,,,,5.00,87089900
MT01,Truck & Bus Division,SF0227008,SCREW HCC P M5.0X0.8X20X6.6XZN,,,S1T,Sub One Ton,5.00,73181500
MT01,Truck & Bus Division,7308AAE00091N,COPPER WASHER-ICV BSVI FILTER,,,,,5.00,74152100
MT01,Truck & Bus Division,0305HAV00570N,M5 NUT - FEED PUMP,,,,,5.00,73181110
MT01,Truck & Bus Division,SF0401076,WASHER PLAIN M8X22X2.3,,,,,5.00,73182200
MT01,Truck & Bus Division,SF0901002,PIN COTTER 2X20 ZN,,,S1T,Sub one Ton,6.00,73182400
MT01,Truck & Bus Division,0302AAV00160N,CLAMP-IN BUSHING,,,,,6.00,73182990
MT01,Truck & Bus Division,SF0303014,NUT HEX FL M8X1.25X8.5X8,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,SF0102151,BOLT  HEXFL M6X1X25X8.8,,,CV,Commercial Vehicles & Common Parts,6.00,73181500
MT01,Truck & Bus Division,6506208,DI-LOCKWASHER M 6,,,CV,Commercial Vehicles & Common Parts,6.00,73182100
MT01,Truck & Bus Division,5108206,NUT HEX M8-1.25,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,SF0901023,PIN COTTER 4X50,,,,,6.00,73182400
MT01,Truck & Bus Division,SF0303038,NUT HEX FL M6X1X6.5X8,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,7025212,PIN COTTER 2.5X25,,,CV,Commercial Vehicles & Common Parts,6.00,73182400
MT01,Truck & Bus Division,SF0302043,NUT NYLOC M8X1.25X9.5X8,,,CV,Commercial Vehicles & Common Parts,6.00,73181600
MT01,Truck & Bus Division,6114218,PLAIN WASHER M14,,,PV,Passenger Vehicles and Common Parts,6.00,73182200
MT01,Truck & Bus Division,6104KAA00750N,SCREW TRCR M6X1X35X6.6XCXBK,,,,,6.00,73181500
MT01,Truck & Bus Division,SF0303029,NUT HEX FL M10X1.5X12X8,,,PV,Passenger Vehicles and Common Parts,6.00,73181600
MT01,Truck & Bus Division,SF0102183,BOLT HEX FL M8X1.25X30X8.8,,,,,6.00,73181500
MT01,Truck & Bus Division,7032212,COTTER PIN 3.2X32,,,CV,Commercial Vehicles & Common Parts,6.00,73182400
